@relation NewCSV

@attribute joy numeric
@attribute fear numeric
@attribute disgust numeric
@attribute sadness numeric
@attribute anger numeric
@attribute surprise numeric
@attribute contempt numeric
@attribute Calm numeric
@attribute Angered numeric
@attribute Joyful numeric
@attribute Sorrow numeric
@attribute Performance {Low,High}

@data
99.9109,0.0008,71.1351,0.0002,0,9.8461,0.0003,42,0,7,0,Low
99.9186,0.0546,99.2822,0.472,0.0072,13.5542,0.1948,23,17,7,1,Low
99.1721,0.0411,98.4736,0.0019,0.0005,10.9526,0.0632,38,0,2,8,Low
99.6674,0.3086,99.6132,0.026,0.0011,13.772,0.1673,29,20,0,0,Low
99.1438,0.0144,99.8163,0.1501,0.3563,11.4478,0.3779,36,0,0,14,Low
78.0353,0.0083,99.855,0.0394,0.0509,9.558,0.201,38,4,6,2,Low
99.9262,0.0034,94.5523,0.0227,0.0043,15.314,0.1036,44,0,0,5,Low
99.9271,0.0013,83.0214,0,0,16.3793,0.0001,40,0,8,2,Low
99.9289,0.0334,99.8931,0.0032,0.0006,17.7882,0.1058,43,3,3,0,Low
99.9212,0.0016,78.5833,0,0,17.6332,0.0002,26,8,16,0,Low
99.9255,0.0198,99.9822,0.0252,0.0027,21.037,0.1944,46,0,0,3,Low
99.767,0.0109,99.9315,0.0288,0.0017,9.9872,0.1929,17,0,20,12,Low
99.873,0.0046,99.9017,0.0244,0.0094,12.2744,0.1913,31,7,10,0,Low
99.6892,0.0463,99.5841,0.0352,0.0034,9.6982,0.1893,45,0,4,0,Low
99.9175,0.0009,98.716,0.0001,0,12.0924,0.0001,43,0,4,2,Low
99.9303,19.7352,99.9544,3.067,2.7306,16.8316,0.309,26,0,4,18,Low
99.9212,0.5673,99.9993,0.0054,0.0053,14.5134,6.15,50,0,0,0,Low
99.8149,0.0464,99.785,0.0152,2.3911,13.8203,0.2448,37,4,6,1,Low
99.7126,0.0205,90.0545,0.0001,0.0001,14.3471,0.0046,12,0,28,8,Low
99.8922,0.0685,99.9057,0.0228,0.0014,14.8462,0.1646,24,2,4,20,Low
99.8491,0.0345,99.7081,0.0012,0.0003,14.969,0.0362,47,0,2,0,Low
99.8097,0.0663,99.8866,0.0002,0.0002,13.3379,0.0223,36,0,4,10,Low
97.2557,0.3405,99.9268,0.0009,0.0011,14.0072,0.1826,31,14,4,0,Low
0.0882,0.3444,99.9816,0.0222,0.4585,14.132,1.9734,40,0,6,4,Low
0.0033,0.0209,99.8946,0.0247,0.8059,0.8129,0.2186,39,0,8,1,Low
0.0018,0.7436,99.9719,12.9226,43.3929,0.1977,0.9362,50,0,0,0,Low
0.0038,0.3678,99.915,0.5116,3.3322,1.2062,0.7182,15,1,14,18,Low
0.0041,0.0412,99.9824,0.0237,0.033,1.4995,0.2163,26,0,1,21,Low
0.0066,0.0373,99.9718,0.0826,0.994,1.4873,75.8517,12,0,38,0,Low
0.0912,0.0266,99.9047,0.0233,0.4688,1.3524,12.9167,41,0,0,8,Low
0.0083,0.1801,99.9249,0.0914,0.0035,6.6769,93.5255,50,0,0,0,Low
99.7292,0.3373,99.9529,0.0041,0.0018,15.1144,93.1641,47,0,0,2,Low
99.8302,0.0711,99.8698,0.0167,0.0017,15.4563,10.1663,32,0,2,14,Low
18.4497,0.2341,99.8563,0.0213,0.082,9.8159,40.1287,50,0,0,0,Low
0,0,0,0,0,0,0,0,0,0,0,High
